Amplitude,RR,Arritmia
1.40332969546373,0.925000000074,(VT
0.635691788196585,0.966666666744004,(VT
0.939122403264063,0.833333333400006,(VT
0.878101853728299,0.944444444519945,(VT
0.811555605232717,0.927777777851986,(VT
2.11712827295088,0.716666666723995,(VT
1.22934480011463,0.641666666717981,(VT
0.882528552413262,0.652777777830011,(VT
1.06817916512483,0.841666666734,(VT
1.37913394570346,0.800000000064074,(VT
1.41566864848182,0.900000000072055,(VT
1.30979238957168,0.883333333403925,(VT
0.905350399017334,1.01388888896986,(VT
0.948483154475707,0.902777777850133,(VT
0.96998614609246,0.905555555628098,(VT
0.960654042065158,0.941666666741867,(VT
0.556826703846826,0.941666666742094,(VT
1.71166914999542,0.850000000067894,(VT
0.74900409519675,0.833333333400105,(VT
1.47665457159282,0.627777777828214,(VT
