Amplitude,RR,Arritmia
0.814697270393756,0.825000000066,(P
0.865552107692164,0.822222222287991,(P
0.512210874855523,1.16666666676001,(P
0.840745877623966,0.822222222287991,(P
0.745025035143353,0.775000000061993,(P
0.717228180170502,0.852777777846001,(P
0.589134291112742,0.833333333399992,(P
0.625752762258427,0.83055555562197,(P
0.636528206169976,0.777777777840015,(P
0.638044101894284,0.805555555620003,(P
0.755294331908629,0.836111111177956,(P
0.668251026571207,0.794444444508031,(P
0.774975985587024,0.783333333396058,(P
0.552010589242337,0.80000000006396,(P
0.678080693781776,0.786111111174023,(P
0.646699074805141,0.797222222286109,(P
