Amplitude,RR,Arritmia
1.87612174034242,1.613888889018,(B
1.93113663852359,1.60555555568396,(B
2.27944162130501,1.61944444457401,(B
2.3060700693741,1.57500000012595,(B
2.10804644286757,1.63055555568599,(B
2.13505136400596,1.63611111124203,(B
2.36160068124645,1.61944444457396,(B
2.41974992871402,1.68055555569003,(B
2.34528768569352,1.60000000012792,(B
1.9957464626445,1.647222222354,(B
2.27687872201337,1.64166666679796,(B
2.0663317427052,1.66111111124405,(B
2.03909268081325,1.64166666679796,(B
2.54532504409677,1.63611111124214,(B
1.3337676072133,1.66666666679998,(B
2.20878448367257,1.65000000013197,(B
0.770062541664539,1.69722222235782,(B
2.25672183305136,1.68055555569003,(B
