Amplitude,RR,Arritmia
1.20267609894384,1.95277777793399,(T
1.31084911823391,1.85833333348199,(T
1.40936486244316,1.81388888903399,(T
1.44445055902119,1.83333333347997,(T
1.37200675308819,1.81944444459003,(T
1.29370351284847,1.844444444592,(T
1.37877956360689,1.86388888903809,(T
1.33866372972828,1.89444444459605,(T
1.12335506111488,1.84166666681404,(T
1.25814818680403,1.844444444592,(T
1.21509013116468,1.85555555570397,(T
1.18497988164541,1.80000000014388,(T
1.32738279521572,1.2611111112119,(T
1.11248893797511,1.880555555706,(T
1.07328005224576,1.78333333347609,(T
1.45876960009444,1.91944444459796,(T
1.67028871208492,2.28888888907204,(T
0.999179749489305,2.42222222241594,(T
0.812402861118667,2.52777777797996,(T
0.917983081639228,2.32222222240807,(T
0.751362403333587,2.38888888908002,(T
0.816775909364611,2.40000000019199,(T
0.952208162844667,2.32222222240796,(T
0.850945515633091,2.13333333350408,(T
0.783391964734027,2.19722222239807,(T
0.905538673401303,2.24722222240212,(T
0.884266868830168,2.2305555557341,(T
0.902158657610872,2.31111111129599,(T
1.26719788759959,2.211111111288,(T
1.45140938699264,2.269444444626,(T
1.2667461672427,2.28888888907201,(T
1.62435947090408,2.38333333352401,(T
1.3958736771347,2.352777777966,(T
1.03131255298858,2.25277777795799,(T
1.3858784091474,2.25555555573601,(T
1.46739965915695,2.30000000018401,(T
1.64031239032762,2.35277777796603,(T
1.41865980595373,2.35833333352196,(T
1.35175707101919,1.91111111126406,(T
1.25267674714423,1.28333333343596,(T
1.54221753299326,1.24722222232197,(T
1.36227431744426,1.92500000015389,(T
1.4033398884544,1.30000000010386,(T
1.34528289109561,1.38055555566598,(T
0.555154024958632,2.5527777779821,(T
1.64862280368887,2.17777777795209,(T
1.27095057368365,1.83888888903607,(T
1.46578752666809,1.35833333344203,(T
1.6731768313052,2.41388888908182,(T
1.19275640368475,2.27222222240403,(T
1.65952671170337,1.77777777791994,(T
1.46296750247586,1.32222222232804,(T
1.50674215644678,2.100000000168,(T
1.17400613486842,1.880555555706,(T
1.54684388429001,2.09722222238997,(T
1.54157111883245,1.36388888899796,(T
1.22011500924901,1.94722222237806,(T
1.32411579072554,1.925000000154,(T
1.52527260094958,1.21666666676401,(T
1.48906279981206,1.75000000014001,(T
1.37693318069062,2.07777777794399,(T
1.20267609894384,1.95277777793399,(T
1.31084911823391,1.85833333348199,(T
1.40936486244316,1.81388888903399,(T
1.44445055902119,1.83333333347997,(T
1.37200675308819,1.81944444459003,(T
1.29370351284847,1.844444444592,(T
1.37877956360689,1.86388888903809,(T
1.33866372972828,1.89444444459605,(T
1.12335506111488,1.84166666681404,(T
1.25814818680403,1.844444444592,(T
1.21509013116468,1.85555555570397,(T
1.18497988164541,1.80000000014388,(T
1.32738279521572,1.2611111112119,(T
1.11248893797511,1.880555555706,(T
1.07328005224576,1.78333333347609,(T
1.45876960009444,1.91944444459796,(T
1.67028871208492,2.28888888907204,(T
0.999179749489305,2.42222222241594,(T
0.812402861118667,2.52777777797996,(T
0.917983081639228,2.32222222240807,(T
0.751362403333587,2.38888888908002,(T
0.816775909364611,2.40000000019199,(T
0.952208162844667,2.32222222240796,(T
0.850945515633091,2.13333333350408,(T
0.783391964734027,2.19722222239807,(T
0.905538673401303,2.24722222240212,(T
0.884266868830168,2.2305555557341,(T
0.902158657610872,2.31111111129599,(T
1.26719788759959,2.211111111288,(T
1.45140938699264,2.269444444626,(T
1.2667461672427,2.28888888907201,(T
1.62435947090408,2.38333333352401,(T
1.3958736771347,2.352777777966,(T
1.03131255298858,2.25277777795799,(T
1.3858784091474,2.25555555573601,(T
1.46739965915695,2.30000000018401,(T
1.64031239032762,2.35277777796603,(T
1.41865980595373,2.35833333352196,(T
1.35175707101919,1.91111111126406,(T
1.25267674714423,1.28333333343596,(T
1.54221753299326,1.24722222232197,(T
1.36227431744426,1.92500000015389,(T
1.4033398884544,1.30000000010386,(T
1.34528289109561,1.38055555566598,(T
0.555154024958632,2.5527777779821,(T
1.64862280368887,2.17777777795209,(T
1.27095057368365,1.83888888903607,(T
1.46578752666809,1.35833333344203,(T
1.6731768313052,2.41388888908182,(T
1.19275640368475,2.27222222240403,(T
1.65952671170337,1.77777777791994,(T
1.46296750247586,1.32222222232804,(T
1.50674215644678,2.100000000168,(T
1.17400613486842,1.880555555706,(T
1.54684388429001,2.09722222238997,(T
1.54157111883245,1.36388888899796,(T
1.22011500924901,1.94722222237806,(T
1.32411579072554,1.925000000154,(T
1.52527260094958,1.21666666676401,(T
1.48906279981206,1.75000000014001,(T
1.37693318069062,2.07777777794399,(T
1.20267609894384,1.95277777793399,(T
1.31084911823391,1.85833333348199,(T
